"tier_4","grid_id","geometry","median_measurements"
"4-006","238973","POLYGON ((-62.76666700000059 46.05000000000294, -62.76666700000059 46.03333300000295, -62.750000000000576 46.03333300000295, -62.75000000000059 46.05000000000294, -62.76666700000059 46.05000000000294))","1"
"4-006","238847","POLYGON ((-62.83333300000059 46.10000000000293, -62.83333300000061 46.083333000002945, -62.816667000000585 46.08333300000293, -62.816667000000585 46.10000000000294, -62.83333300000059 46.10000000000293))","2"
"4-006","238337","POLYGON ((-63.26666700000062 46.23333300000295, -63.26666700000061 46.216667000002936, -63.25000000000062 46.216667000002936, -63.25000000000061 46.233333000002936, -63.26666700000062 46.23333300000295))","4"
"4-006","237867","POLYGON ((-62.80000000000059 46.35000000000292, -62.80000000000059 46.33333300000292, -62.78333300000058 46.33333300000294, -62.78333300000058 46.35000000000292, -62.80000000000059 46.35000000000292))","3"
"4-006","237598","POLYGON ((-63.25000000000062 46.40000000000293, -63.25000000000062 46.383333000002914, -63.233333000000606 46.383333000002935, -63.23333300000062 46.40000000000292, -63.25000000000062 46.40000000000293))","4"
"4-006","238472","POLYGON ((-63.25000000000061 46.20000000000292, -63.25000000000062 46.183333000002925, -63.233333000000634 46.18333300000295, -63.233333000000606 46.20000000000293, -63.25000000000061 46.20000000000292))","4"
"4-006","238343","POLYGON ((-63.166667000000615 46.233333000002936, -63.16666700000063 46.21666700000293, -63.1500000000006 46.21666700000294, -63.15000000000062 46.23333300000292, -63.166667000000615 46.233333000002936))","4"
"4-006","238398","POLYGON ((-63.35000000000063 46.21666700000294, -63.35000000000061 46.200000000002944, -63.33333300000064 46.20000000000292, -63.33333300000063 46.21666700000293, -63.35000000000063 46.21666700000294))","4"
"4-006","237816","POLYGON ((-62.333333000000565 46.36666700000292, -62.333333000000565 46.350000000002936, -62.31666700000058 46.35000000000293, -62.31666700000055 46.36666700000293, -62.333333000000565 46.36666700000292))","3"
"4-006","238772","POLYGON ((-62.48333300000055 46.13333300000294, -62.48333300000058 46.11666700000293, -62.466667000000555 46.11666700000293, -62.466667000000555 46.13333300000295, -62.48333300000055 46.13333300000294))","6"
"4-006","238152","POLYGON ((-62.9000000000006 46.28333300000291, -62.9000000000006 46.266667000002904, -62.88333300000062 46.266667000002926, -62.88333300000059 46.28333300000295, -62.9000000000006 46.28333300000291))","3"
"4-006","238714","POLYGON ((-62.466667000000555 46.15000000000294, -62.466667000000555 46.13333300000295, -62.45000000000059 46.133333000002935, -62.45000000000057 46.15000000000295, -62.466667000000555 46.15000000000294))","2"
