"tier_4","grid_id","geometry","median_measurements"
"4-007","242813","POLYGON ((-64.03333300000067 46.71666700000291, -64.03333300000067 46.7000000000029, -64.01666700000067 46.70000000000289, -64.01666700000068 46.71666700000289, -64.03333300000067 46.71666700000291))","4"
"4-006","237367","POLYGON ((-62.65000000000057 46.45000000000291, -62.65000000000058 46.433333000002925, -62.63333300000057 46.433333000002904, -62.63333300000057 46.450000000002916, -62.65000000000057 46.45000000000291))","5"
"4-007","243732","POLYGON ((-63.73333300000066 46.31666700000292, -63.73333300000064 46.300000000002925, -63.716667000000655 46.30000000000292, -63.716667000000655 46.31666700000293, -63.73333300000066 46.31666700000292))","5"
"4-006","237225","POLYGON ((-62.25000000000054 46.48333300000292, -62.25000000000053 46.46666700000293, -62.233333000000556 46.46666700000292, -62.23333300000054 46.483333000002915, -62.25000000000054 46.48333300000292))","2"
"4-007","243614","POLYGON ((-63.78333300000066 46.383333000002914, -63.78333300000065 46.36666700000292, -63.76666700000065 46.36666700000291, -63.766667000000666 46.38333300000292, -63.78333300000066 46.383333000002914))","3"
"4-006","238067","POLYGON ((-63.166667000000615 46.30000000000291, -63.166667000000615 46.283333000002926, -63.15000000000062 46.28333300000291, -63.15000000000062 46.3000000000029, -63.166667000000615 46.30000000000291))","4"
"4-006","237921","POLYGON ((-63.1666670000006 46.333333000002916, -63.1666670000006 46.31666700000293, -63.15000000000062 46.3166670000029, -63.15000000000062 46.33333300000293, -63.1666670000006 46.333333000002916))","3"
"4-006","237375","POLYGON ((-62.51666700000059 46.45000000000291, -62.51666700000058 46.43333300000292, -62.500000000000576 46.433333000002904, -62.500000000000576 46.450000000002916, -62.51666700000059 46.45000000000291))","2"
"4-006","237980","POLYGON ((-63.41666700000065 46.31666700000291, -63.41666700000062 46.300000000002925, -63.400000000000624 46.3000000000029, -63.400000000000624 46.31666700000293, -63.41666700000065 46.31666700000291))","1"
"4-007","243621","POLYGON ((-63.66666700000064 46.383333000002914, -63.66666700000062 46.366667000002906, -63.65000000000063 46.36666700000291, -63.650000000000645 46.383333000002914, -63.66666700000064 46.383333000002914))","2"
"4-006","237930","POLYGON ((-63.01666700000062 46.33333300000291, -63.016667000000595 46.31666700000292, -63.0000000000006 46.31666700000293, -63.0000000000006 46.3333330000029, -63.01666700000062 46.33333300000291))","4"
"4-007","243311","POLYGON ((-63.90000000000066 46.50000000000293, -63.90000000000066 46.483333000002915, -63.88333300000067 46.48333300000291, -63.88333300000068 46.50000000000293, -63.90000000000066 46.50000000000293))","12"
"4-006","240270","POLYGON ((-61.88333300000054 46.61666700000292, -61.88333300000054 46.60000000000292, -61.866667000000504 46.600000000002915, -61.86666700000052 46.61666700000293, -61.88333300000054 46.61666700000292))","2"
"4-006","238459","POLYGON ((-63.46666700000062 46.20000000000294, -63.46666700000065 46.18333300000293, -63.450000000000635 46.183333000002925, -63.450000000000635 46.20000000000292, -63.46666700000062 46.20000000000294))","8"
"4-006","237237","POLYGON ((-62.01666700000053 46.48333300000293, -62.01666700000052 46.46666700000293, -62.00000000000052 46.46666700000293, -62.00000000000053 46.483333000002915, -62.01666700000053 46.48333300000293))","4"
"4-007","242990","POLYGON ((-63.95000000000068 46.633333000002885, -63.950000000000664 46.61666700000291, -63.933333000000665 46.61666700000291, -63.933333000000694 46.633333000002885, -63.95000000000068 46.633333000002885))","4"
"4-007","242853","POLYGON ((-64.43333300000072 46.6833330000029, -64.43333300000072 46.666667000002874, -64.4166670000007 46.666667000002896, -64.4166670000007 46.6833330000029, -64.43333300000072 46.6833330000029))","3"
"4-006","238950","POLYGON ((-62.48333300000056 46.06666700000295, -62.48333300000058 46.050000000002925, -62.466667000000555 46.05000000000295, -62.466667000000555 46.066667000002944, -62.48333300000056 46.06666700000295))","5"
"4-006","238563","POLYGON ((-62.816667000000585 46.18333300000291, -62.81666700000061 46.16666700000293, -62.80000000000059 46.166667000002924, -62.800000000000594 46.18333300000294, -62.816667000000585 46.18333300000291))","81"
"4-006","238127","POLYGON ((-63.31666700000063 46.28333300000291, -63.31666700000063 46.26666700000291, -63.300000000000615 46.266667000002926, -63.300000000000615 46.28333300000294, -63.31666700000063 46.28333300000291))","8"
"4-006","237788","POLYGON ((-62.80000000000059 46.36666700000293, -62.80000000000059 46.35000000000292, -62.78333300000058 46.35000000000292, -62.78333300000058 46.366667000002906, -62.80000000000059 46.36666700000293))","4"
"4-007","243785","POLYGON ((-63.55000000000064 46.28333300000292, -63.55000000000064 46.26666700000293, -63.53333300000064 46.26666700000289, -63.53333300000064 46.28333300000291, -63.55000000000064 46.28333300000292))","8"
"4-006","238974","POLYGON ((-62.75000000000059 46.05000000000294, -62.750000000000576 46.03333300000295, -62.73333300000058 46.033333000002955, -62.733333000000584 46.05000000000292, -62.75000000000059 46.05000000000294))","1"
"4-006","237431","POLYGON ((-63.083333000000614 46.433333000002904, -63.08333300000061 46.416667000002924, -63.06666700000062 46.41666700000293, -63.066667000000606 46.43333300000291, -63.083333000000614 46.433333000002904))","2"
"4-007","242496","POLYGON ((-64.05000000000068 46.933333000002875, -64.05000000000068 46.916667000002874, -64.03333300000067 46.916667000002874, -64.03333300000068 46.93333300000289, -64.05000000000068 46.933333000002875))","4"
"4-006","237193","POLYGON ((-63.43333300000063 46.48333300000293, -63.43333300000062 46.46666700000292, -63.41666700000062 46.46666700000293, -63.416667000000636 46.483333000002936, -63.43333300000063 46.48333300000293))","5"
"4-006","238939","POLYGON ((-62.66666700000057 46.066667000002944, -62.66666700000058 46.050000000002946, -62.65000000000057 46.050000000002946, -62.65000000000057 46.066667000002944, -62.66666700000057 46.066667000002944))","4"
"4-006","237747","POLYGON ((-62.150000000000546 46.383333000002935, -62.15000000000056 46.36666700000293, -62.13333300000053 46.36666700000292, -62.133333000000526 46.383333000002914, -62.150000000000546 46.383333000002935))","10"
